Artifact#,Provenience,Length (mm),Width (mm),Weight (g),Thickness (mm),Bulb Thickness (mm),Material Type,Material Quality,Cortex,Platform,Term.,Comments
585,4-P-1,40.1,33.8,8.4,7.4,6.8,Chert,Bad,?50%,Flat,X,
586,4-P-1,22.1,16.2,1.6,3.8,3.8,Chert,Good,?505,x,Feathered,
587,4-P-1,36.8,24.8,9.3,11.7,10.1,Chert,Very Good,None,Flat ,x,Grey / black chert
588,4-P-1,32,16.5,24,4.6,4.1,Chert,Good,None,Flat,Feathered,
589,4-P-1,39.2,17.7,1.8,11,12.7,Chert,Very Bad,?50%,Flat,Unkown,
591,4-P-1,27.2,16.3,3.2,9.1,9.1,Chert,Intermediate,>50%,Cortical,x,Oxidized
592,4-P-1,19.6,17.6,1.5,6,5.1,Limestone,Good,?50%,X,X,Masonry
593,4-P-1,40,6.2,33.4,4.9,x,Limestone,Bad,?50%,x,x,Masonry
594,4-P-1,88.7,25.9,166.1,28.7,27.4,Limestone,Intermediate,x,Complex,x,"Masonry, poss chopper"
595,4-L-2,16.2,12.3,1.1,4.5,x,Chert,Intermediate,x,x,Feathered,
596,4-L-2,21.6,19,2.7,7.2,x,Cherrt,Bad,?50%,x,x,
597,4-L-2,37.2,32.6,17.9,12.4,x,Chert,Bad,?50%,x,Stepped?,
603,6-B-3,23.3,16.8,1.5,3,3.4,Chert,Good,x,Flat,Feathered,
604,6-B-3,62.2,45.4,28.4,8.9,10.5,Chert,Intermediate,x,Complex,x,Two bulbs of force
605,6-B-3,45.6,12.4,14.5,16.6,x,Chert,Bad,x,x,x,
606,6-B-3,35,17.6,25.1,19,x,Chert,Good,?50%,x,Flat,
607,6-B-3,33.8,27,11.8,16.5,12.3,Chert,Very Bad,x,Flat,x,
608,6-B-3,24.6,18.4,34,8.5,x,Chert,Bad,x,x,x,Broken on both ends
609,6-B-3,35.3,23.4,8.4,8.6,x,Chert,Very Bad,x,Flat,Feathered?,
610,6-B-3,35.4,19.9,8.1,11.6,x,Chert,Bad,x,Complex,x,
611,6-B-3,24.7,15.7,5.5,9.3,x,Chert,Intermediate,x,x,x,
612,6-B-3,30.2,24.6,5.7,7.4,x,Chert,Bad,x,x,x,
613,6-B-3,34,29.1,4.6,5.8,6.8,Chert,Intermediate,x,Flat,x,
614,6-B-3,25,11.2,5.6,14.2,x,Chert,Very Good,x,x,x,Rounded body on one side 
615,6-B-3,24,14.3,4.5,12.4,x,Chert,Very Bad,x,x,x,
616,6-B-3,41.4,23,6.4,7.2,X,Chert,Very Good,x,x,x,
617,6-B-3,24.2,10.8,0.6,2.1,x,Chert,Good,x,x,Feathered,
