"Artifact_Id","Operation","Suboperation","Lot","Lenght_mm","Width_mm","Mass_g","Thickness_mm","Raw_material","Quality","Cortex","Attribute_termination","Comments","Thickness_bulb_mm","Attribute_platform","Type_collection"
234,1,"B",5,37.9,20.9,4.9,3.9,"Chert",3,"<50%","Feathered","Reanalyzed JB",5.7,"Flat",NA
238,1,"B",5,32.4,19.3,3.7,7.8,"Chert",4,"None",NA,"Reanalyzed JB",NA,NA,NA
239,1,"B",5,22.7,15.9,2.2,7.3,"Chert",4,"None","Feathered","Reanalyzed JB",7.5,NA,NA
240,1,"B",5,29,14.1,1.5,2,"Chert",4,"None",NA,"Reanalyzed JB",2.5,NA,NA
241,1,"B",5,17.6,20.5,2.2,5.2,"Chert",4,"None","Feathered","Reanalyzed JB",NA,NA,NA
242,1,"B",5,23.8,19.8,2.8,5.4,"Chert",5,"None","Feathered","Reanalyzed JB",NA,NA,NA
585,4,"P",1,40.1,33.8,8.4,7.4,"Chert",2,"<50%",NA,"",6.8,"Flat",NA
586,4,"P",1,22.1,16.2,1.6,3.8,"Chert",4,"<50%","Feathered","",3.8,NA,NA
587,4,"P",1,36.8,24.8,9.3,11.7,"Chert",5,"None",NA,"Grey / black chert",10.1,"Flat",NA
588,4,"P",1,32,16.5,24,4.6,"Chert",4,"None","Feathered","",4.1,"Flat",NA
589,4,"P",1,39.2,17.7,1.8,11,"Chert",1,"<50%",NA,"",12.7,"Flat",NA
591,4,"P",1,27.2,16.3,3.2,9.1,"Chert",3,">50%",NA,"Oxidized",9.1,"Cortical",NA
592,4,"P",1,19.6,17.6,1.5,6,"Limestone",4,"<50%",NA,"Masonry",5.1,NA,NA
593,4,"P",1,40,6.2,33.4,4.9,"Limestone",2,"<50%",NA,"Masonry",NA,NA,NA
595,4,"L",2,16.2,12.3,1.1,4.5,"Chert",3,"None","Feathered","",NA,NA,NA
596,4,"L",2,21.6,19,2.7,7.2,"Cherrt",2,"<50%",NA,"",NA,NA,NA
597,4,"L",2,37.2,32.6,17.9,12.4,"Chert",2,"<50%","Stepped","",NA,NA,NA
603,6,"B",3,23.3,16.8,1.5,3,"Chert",4,"None","Feathered","",3.4,"Flat",NA
604,6,"B",3,62.2,45.4,28.4,8.9,"Chert",3,"None",NA,"Two bulbs of force",10.5,NA,NA
605,6,"B",3,45.6,12.4,14.5,16.6,"Chert",2,"None",NA,"",NA,NA,NA
606,6,"B",3,35,17.6,25.1,19,"Chert",4,"<50%","Flat","",NA,NA,NA
607,6,"B",3,33.8,27,11.8,16.5,"Chert",1,"None",NA,"",12.3,"Flat",NA
608,6,"B",3,24.6,18.4,34,8.5,"Chert",2,"None",NA,"Broken on both ends",NA,NA,NA
609,6,"B",3,35.3,23.4,8.4,8.6,"Chert",1,"None","Feathered","",NA,"Flat",NA
610,6,"B",3,35.4,19.9,8.1,11.6,"Chert",2,"None",NA,"",NA,NA,NA
611,6,"B",3,24.7,15.7,5.5,9.3,"Chert",3,"None",NA,"",NA,NA,NA
612,6,"B",3,30.2,24.6,5.7,7.4,"Chert",2,"None",NA,"",NA,NA,NA
613,6,"B",3,34,29.1,4.6,5.8,"Chert",3,"None",NA,"",6.8,"Flat",NA
